x y dx dy
0 0.558505360638185 0.017 0.018
0.017 0.556760031386191 0.017 0.018
0.033999999999999 0.551524043630208 0.017 0.018
0.049999999999999 0.542797397370237 0.017 0.018
0.066999999999998 0.53232542185827 0.017 0.018
0.084 0.52010811709431 0.017 0.018
0.100999999999999 0.506145483078356 0.017 0.018
0.116999999999999 0.488692190558412 0.017 0.018
0.133999999999999 0.469493568786475 0.017 0.018
0.151 0.446804288510548 0.017 0.018
0.167999999999999 0.424115008234622 0.017 0.018
0.184999999999999 0.397935069454707 0.017 0.018
0.200999999999999 0.370009801422798 0.017 0.018
0.218 0.342084533390888 0.017 0.018
0.234999999999999 0.310668606854991 0.017 0.018
0.251999999999999 0.279252680319093 0.017 0.018
0.267999999999999 0.2460914245312 0.017 0.018
0.284999999999998 0.211184839491314 0.017 0.018
0.302 0.174532925199433 0.017 0.018
0.318999999999999 0.139626340159546 0.017 0.018
0.335999999999999 0.102974425867666 0.017 0.018
0.351999999999999 0.06457718232379 0.017 0.018
0.369 0.026179938779915 0.017 0.018
0.385999999999999 -0.010471975511966 0.017 0.018
0.402999999999999 -0.048869219055841 0.017 0.018
0.418999999999999 -0.087266462599717 0.017 0.018
0.436 -0.122173047639603 0.017 0.018
0.452999999999999 -0.158824961931484 0.017 0.018
0.469999999999999 -0.195476876223365 0.017 0.018
0.485999999999999 -0.230383461263251 0.017 0.018
0.502999999999998 -0.263544717051144 0.017 0.018
0.52 -0.294960643587042 0.017 0.018
0.536999999999999 -0.32637657012294 0.017 0.018
0.552999999999999 -0.356047167406843 0.017 0.018
0.569999999999999 -0.383972435438752 0.017 0.018
0.587 -0.410152374218667 0.017 0.018
0.603999999999999 -0.432841654494594 0.017 0.018
0.620999999999999 -0.452040276266531 0.017 0.018
0.636999999999999 -0.471238898038469 0.017 0.018
0.654 -0.488692190558412 0.017 0.018
0.670999999999999 -0.502654824574367 0.017 0.018
0.687999999999999 -0.514872129338327 0.017 0.018
0.703999999999999 -0.525344104850293 0.017 0.018
0.721 -0.53232542185827 0.017 0.018
0.738 -0.535816080362259 0.017 0.018
0.754999999999999 -0.539306738866248 0.017 0.018
0.770999999999999 -0.537561409614253 0.017 0.018
0.787999999999999 -0.534070751110265 0.017 0.018
0.805 -0.527089434102288 0.017 0.018
0.821999999999999 -0.518362787842316 0.017 0.018
0.838999999999999 -0.506145483078356 0.017 0.018
0.856 -0.492182849062401 0.017 0.018
0.872 -0.474729556542458 0.017 0.018
0.888999999999999 -0.45553093477052 0.017 0.018
0.905999999999999 -0.434586983746588 0.017 0.018
0.922999999999998 -0.411897703470662 0.017 0.018
0.939 -0.385717764690747 0.017 0.018
